pl_name,pl_letter,hd_name,gaia_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,pul_flag
GJ 3634 b,b,,Gaia DR2 5452743423618768000,1.0,1.0,0.0,Radial Velocity,2010.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 367 b,b,,Gaia DR2 5412250540681250560,1.0,1.0,0.0,Transit,2021.0,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,
GJ 3779 b,b,,Gaia DR2 1446540213584440704,1.0,1.0,0.0,Radial Velocity,2018.0,Ground,Calar Alto Observatory,3.5 m telescope,
GJ 3929 b,b,,Gaia DR2 1372215976327300480,1.0,2.0,0.0,Transit,2022.0,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,
GJ 3929 c,c,,Gaia DR2 1372215976327300480,1.0,2.0,0.0,Radial Velocity,2022.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 393 b,b,,Gaia DR2 3855208897392952192,1.0,1.0,0.0,Radial Velocity,2021.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 3942 b,b,,Gaia DR2 1428030622526979968,1.0,1.0,0.0,Radial Velocity,2017.0,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,
GJ 3998 b,b,,Gaia DR2 4540061704988054400,1.0,2.0,0.0,Radial Velocity,2016.0,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,
GJ 3998 c,c,,Gaia DR2 4540061704988054400,1.0,2.0,0.0,Radial Velocity,2016.0,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,
GJ 411 b,b,HD 95735,,1.0,2.0,0.0,Radial Velocity,2019.0,Ground,Haute-Provence Observatory,1.93 m Telescope,
GJ 414 A b,b,HD 97101,Gaia DR2 732857558276385664,2.0,2.0,0.0,Radial Velocity,2021.0,Ground,W. M. Keck Observatory,10 m Keck I Telescope,
GJ 414 A c,c,HD 97101,Gaia DR2 732857558276385664,2.0,2.0,0.0,Radial Velocity,2021.0,Ground,W. M. Keck Observatory,10 m Keck I Telescope,
GJ 422 b,b,HD 304043,Gaia DR2 5339892367683264384,1.0,1.0,0.0,Radial Velocity,2014.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 4276 b,b,,Gaia DR2 2200501793758177152,1.0,1.0,0.0,Radial Velocity,2019.0,Ground,Calar Alto Observatory,3.5 m telescope,
GJ 433 b,b,,Gaia DR2 3478160727866058368,1.0,3.0,0.0,Radial Velocity,2011.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 433 c,c,,Gaia DR2 3478160727866058368,1.0,3.0,0.0,Radial Velocity,2014.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 433 d,d,,Gaia DR2 3478160727866058368,1.0,3.0,0.0,Radial Velocity,2020.0,Ground,Multiple Facilities,Multiple Telescopes,
GJ 436 b,b,,Gaia DR2 4017860992519744384,1.0,1.0,0.0,Radial Velocity,2004.0,Ground,W. M. Keck Observatory,10 m Keck I Telescope,
GJ 463 b,b,,Gaia DR2 1584088431025057792,1.0,1.0,0.0,Radial Velocity,2022.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 480 b,b,,Gaia DR2 3928391218812375808,1.0,1.0,0.0,Radial Velocity,2020.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 486 b,b,,Gaia DR2 3735000631158990976,1.0,1.0,0.0,Radial Velocity,2021.0,Ground,Calar Alto Observatory,3.5 m telescope,
GJ 504 b,b,HD 115383,Gaia DR2 3732539683617410816,1.0,1.0,0.0,Imaging,2013.0,Ground,Subaru Telescope,8.2 m Subaru Telescope,
GJ 514 b,b,,Gaia DR2 3738099879558957952,1.0,1.0,0.0,Radial Velocity,2022.0,Multiple Locales,Multiple Observatories,Multiple Telescopes,
GJ 536 b,b,HD 122303,Gaia DR2 3657653114880309248,1.0,1.0,0.0,Radial Velocity,2016.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 581 b,b,,Gaia DR2 6322070093095493504,1.0,3.0,0.0,Radial Velocity,2005.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 581 c,c,,Gaia DR2 6322070093095493504,1.0,3.0,0.0,Radial Velocity,2007.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 581 e,e,,Gaia DR2 6322070093095493504,1.0,3.0,0.0,Radial Velocity,2009.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 625 b,b,,Gaia DR2 1428427236986209024,1.0,1.0,0.0,Radial Velocity,2017.0,Ground,Multiple Observatories,Multiple Telescopes,
GJ 649 b,b,,Gaia DR2 4572835535272064768,1.0,1.0,0.0,Radial Velocity,2009.0,Ground,W. M. Keck Observatory,10 m Keck I Telescope,
GJ 667 C b,b,,Gaia DR2 5975663354131618304,3.0,5.0,0.0,Radial Velocity,2011.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
GJ 667 C c,c,,Gaia DR2 5975663354131618304,3.0,5.0,0.0,Radial Velocity,2011.0,Ground,La Silla Observatory,3.6 m ESO Telescope,
